	DRS000419	DRS000420	DRS000668	DRS001349	DRS002153	DRS002154	DRS002155	DRS002156	DRS002157	DRS002158	DRS002159	DRS002160	DRS002161	DRS002162	DRS002163
LOC_Os01g09510	4228.875	1345.1772	4375.0034	199.8417	817.204	767.824	389.854	349.2401	849.669	832.222	330.9289	379.965	874.983	882.038	316.4088
LOC_Os01g09540	72.95648	501.3533	1266.32599	16.36058	10.01258	13.07618	158.3342	338.103	24.13851	45.56541	217.2738	372.157	17.085341	17.44567	143.6695
LOC_Os01g09550	106.96474	130.6439	367.6345	13.30356	33.39649	48.2639	37.9181	50.166	32.71848	68.3229	34.7986	42.9971	36.47489	51.5434	40.0953
LOC_Os01g09560	2355.224	709.0315	2333.7437	74.5257	551.509	528.176	239.4073	224.9287	579.252	545.075	240.8862	237.0463	597.77	618.756	254.5977
LOC_Os01g09570	2719.5351	496.8304	1704.1218	178.2368	189.2201	258.2672	149.723	164.7947	150.7022	185.8069	166.5436	176.5561	143.7865	138.9319	133.2323
LOC_Os01g09580	239.31897	83.32172	254.48511	1.08616	89.4799	64.8382	28.94583	35.03211	107.5648	87.9837	26.17175	36.5923	125.0398	94.5239	23.13014
LOC_Os01g09590	337.46001	69.03974	465.66008	78.8713	67.5364	79.6414	25.40281	32.03282	92.8748	68.6497	13.47723	18.95261	88.8649	73.7998	26.26373
LOC_Os01g09620	352.91591	170.93941	2353.50551	157.2882	145.9252	175.1553	105.3565	122.0639	289.6906	259.2517	100.8491	130.9579	231.7157	224.14	146.0471
LOC_Os01g09640	231.73169	218.2665	431.37383	61.8482	103.0727	102.4203	66.7465	104.6736	110.6362	112.4283	63.274	81.9729	113.9251	92.4251	75.6643
LOC_Os01g09660	45.250461	19.38259	85.124804	4.69408	17.04343	20.04837	6.942038	6.2296	39.86024	40.01437	11.01999	12.91248	40.46961	28.75764	12.21387
LOC_Os01g09665	38.998206	13.302978	183.90057	1.1887	10.12036	4.894606	2.321335	2.510431	4.030107	0.623742	1.135627	0	4.396983	1.174543	2.180884
LOC_Os01g09670	312.88968	128.45572	574.49738	8.37112	61.2023	83.3621	24.8599	51.8471	50.7347	78.088	31.10812	37.8948	59.0331	71.9908	34.7025
