	DRS000419	DRS000420	DRS000668	DRS001349	DRS002153	DRS002154	DRS002155	DRS002156	DRS002157	DRS002158	DRS002159	DRS002160	DRS002161	DRS002162	DRS002163
LOC_Os01g08580	7.122813837	7.143054599	7.276324133	7.555342295	6.783654707	6.975653455	6.785500228	7.098080689	6.847463144	6.862852633	6.798114122	6.98021009	6.896176051	6.982946361	6.829632461
LOC_Os01g08600	5.18352463	5.304064979	5.44111206	4.830158717	5.073472223	4.924724345	5.064530714	5.003109123	4.793183408	4.7668791	5.071138895	4.920583412	5.36264602	5.433752372	5.032740789
LOC_Os01g08650	6.111101073	5.905559447	6.660048017	6.421489035	5.874578747	6.246204389	5.510136451	6.185975081	6.09229025	6.121014224	4.821529532	5.141567337	7.186126949	7.359898421	7.099035506
LOC_Os01g08660	7.79963582	7.757803535	7.961941348	7.959360768	7.702886227	7.782823691	7.339579103	7.584881438	8.226398767	8.643708647	8.149080712	8.347750602	7.822777313	8.072234558	7.679367075
LOC_Os01g08670	6.070071854	5.277639371	5.512382118	5.063762612	5.628265615	5.850797541	4.863927396	5.330709149	5.790243472	5.780252704	4.821529532	5.338579335	5.613507943	5.561638327	5.224727217
LOC_Os01g08680	5.782773899	6.225841475	6.315538486	5.604229684	6.093954058	5.955893624	5.970242234	6.153421072	6.046683901	6.031419245	6.037323635	6.198316814	6.131754443	6.136774245	6.344536799
LOC_Os01g08690	5.957580888	5.943702837	6.527956935	5.968954487	6.037110035	5.916508601	6.470076384	6.094418354	6.206608304	6.081058611	6.527101967	6.180689262	6.157267753	5.983277261	6.494854954
LOC_Os01g08700	11.05255569	9.800974062	11.13489983	10.8311177	11.67000276	12.00753999	10.71498161	11.65864259	11.61077643	12.08269642	11.10654536	11.90213199	11.5949126	12.05421638	11.02090766
LOC_Os01g08710	5.037802959	5.494714455	5.958267023	5.248893348	5.499844927	5.406320035	5.441913866	5.617883963	5.836811096	5.449348196	5.097828319	5.338579335	5.844108647	5.302935591	5.33462414
LOC_Os01g08750	9.158458659	9.605946676	9.686431732	9.034108588	9.418011873	9.261303951	9.692560891	9.637738612	9.521105326	9.090362527	9.967349725	9.476933528	9.539854537	9.247178154	9.708074753
LOC_Os01g08760	6.653302378	6.368815603	6.950933015	5.604229684	6.816556796	6.942587363	6.430941449	6.373036039	6.750307351	6.759099395	6.237889556	6.583407795	6.797560126	6.855328928	6.425363438
LOC_Os01g08770	6.912426628	6.878390342	7.29607757	6.483906726	6.864490721	6.755853839	6.845454961	6.780044068	6.689512592	6.871911011	6.495181089	6.807197252	6.998509237	6.875432827	6.494854954
LOC_Os01g08780	5.778399096	5.882103457	5.656913672	5.160772025	5.762210454	5.963625214	5.707356138	5.847855866	5.827637618	6.081058611	6.462490201	5.688856294	5.642503223	5.715865988	5.762225444
LOC_Os01g08810	5.942313393	5.66698614	5.887932937	5.063762612	5.488459825	6.336040661	5.206673985	5.552674235	5.413311296	6.587187172	5.266300183	5.593177774	5.259779275	6.184146662	5.33462414
LOC_Os01g08814	6.471088679	6.195295122	6.532704039	5.663573436	6.213419886	6.519782133	5.935922977	6.241070395	6.409223694	6.821342469	5.917706668	6.408365845	6.571679122	6.558250888	5.854147645
